regionName,dataDate,mint,maxt
臺灣北部海面,2026-07-04,24.0,29.0
臺灣北部海面,2026-07-05,25.0,30.0
臺灣北部海面,2026-07-06,26.0,31.0
臺灣北部海面,2026-07-07,24.0,29.0
臺灣北部海面,2026-07-08,25.0,30.0
臺灣北部海面,2026-07-09,26.0,31.0
臺灣北部海面,2026-07-10,24.0,29.0
臺灣中部海面,2026-07-04,25.0,31.0
臺灣中部海面,2026-07-05,26.0,32.0
臺灣中部海面,2026-07-06,27.0,33.0
臺灣中部海面,2026-07-07,25.0,31.0
臺灣中部海面,2026-07-08,26.0,32.0
臺灣中部海面,2026-07-09,27.0,33.0
臺灣中部海面,2026-07-10,25.0,31.0
臺灣南部海面,2026-07-04,26.0,32.0
臺灣南部海面,2026-07-05,27.0,33.0
臺灣南部海面,2026-07-06,28.0,34.0
臺灣南部海面,2026-07-07,26.0,32.0
臺灣南部海面,2026-07-08,27.0,33.0
臺灣南部海面,2026-07-09,28.0,34.0
臺灣南部海面,2026-07-10,26.0,32.0
臺灣東北部海面,2026-07-04,23.0,28.0
臺灣東北部海面,2026-07-05,24.0,29.0
臺灣東北部海面,2026-07-06,25.0,30.0
臺灣東北部海面,2026-07-07,23.0,28.0
臺灣東北部海面,2026-07-08,24.0,29.0
臺灣東北部海面,2026-07-09,25.0,30.0
臺灣東北部海面,2026-07-10,23.0,28.0
臺灣東部海面,2026-07-04,24.0,30.0
臺灣東部海面,2026-07-05,25.0,31.0
臺灣東部海面,2026-07-06,26.0,32.0
臺灣東部海面,2026-07-07,24.0,30.0
臺灣東部海面,2026-07-08,25.0,31.0
臺灣東部海面,2026-07-09,26.0,32.0
臺灣東部海面,2026-07-10,24.0,30.0
臺灣東南部海面,2026-07-04,25.0,31.0
臺灣東南部海面,2026-07-05,26.0,32.0
臺灣東南部海面,2026-07-06,27.0,33.0
臺灣東南部海面,2026-07-07,25.0,31.0
臺灣東南部海面,2026-07-08,26.0,32.0
臺灣東南部海面,2026-07-09,27.0,33.0
臺灣東南部海面,2026-07-10,25.0,31.0
